Country code,Country name
4,AFGHANISTAN
8,ALBANIA
12,ALGERIA
16,AMERICAN SAMOA
20,ANDORRA
24,ANGOLA
660,ANGUILLA
28,ANTIGUA AND BARBUDA
32,ARGENTINA
51,ARMENIA
533,ARUBA
36,AUSTRALIA
40,AUSTRIA
31,AZERBAIJAN
44,BAHAMAS
48,BAHRAIN
50,BANGLADESH
52,BARBADOS
112,BELARUS
56,BELGIUM
84,BELIZE
204,BENIN
60,BERMUDA
64,BHUTAN
68,BOLIVIA (PLURINATIONAL STATE OF)
535,"BONAIRE, SINT EUSTATIUS AND SABA"
70,BOSNIA AND HERZEGOVINA
72,BOTSWANA
76,BRAZIL
92,BRITISH VIRGIN ISLANDS
96,BRUNEI DARUSSALAM
100,BULGARIA
854,BURKINA FASO
108,BURUNDI
132,CABO VERDE
116,CAMBODIA
120,CAMEROON
124,CANADA
136,CAYMAN ISLANDS
140,CENTRAL AFRICAN REPUBLIC
148,CHAD
830,CHANNEL ISLANDS
152,CHILE
156,CHINA
344,"CHINA, HONG KONG SAR"
446,"CHINA, MACAO SAR"
158,"CHINA, TAIWAN PROVINCE OF CHINA"
170,COLOMBIA
174,COMOROS
178,CONGO
184,COOK ISLANDS
188,COSTA RICA
191,CROATIA
192,CUBA
531,CURAÇAO
196,CYPRUS
203,CZECHIA
384,CÔTE D'IVOIRE
408,DEM. PEOPLE'S REPUBLIC OF KOREA
180,DEMOCRATIC REPUBLIC OF THE CONGO
208,DENMARK
262,DJIBOUTI
212,DOMINICA
214,DOMINICAN REPUBLIC
218,ECUADOR
818,EGYPT
222,EL SALVADOR
226,EQUATORIAL GUINEA
232,ERITREA
233,ESTONIA
748,ESWATINI
231,ETHIOPIA
238,FALKLAND ISLANDS (MALVINAS)
234,FAROE ISLANDS
242,FIJI
246,FINLAND
250,FRANCE
254,FRENCH GUIANA
258,FRENCH POLYNESIA
266,GABON
270,GAMBIA
268,GEORGIA
276,GERMANY
288,GHANA
292,GIBRALTAR
300,GREECE
304,GREENLAND
308,GRENADA
312,GUADELOUPE
316,GUAM
320,GUATEMALA
324,GUINEA
624,GUINEA-BISSAU
328,GUYANA
332,HAITI
336,HOLY SEE
340,HONDURAS
348,HUNGARY
352,ICELAND
356,INDIA
360,INDONESIA
364,IRAN (ISLAMIC REPUBLIC OF)
368,IRAQ
372,IRELAND
833,ISLE OF MAN
376,ISRAEL
380,ITALY
388,JAMAICA
392,JAPAN
400,JORDAN
398,KAZAKHSTAN
404,KENYA
296,KIRIBATI
414,KUWAIT
417,KYRGYZSTAN
418,LAO PEOPLE'S DEMOCRATIC REPUBLIC
428,LATVIA
422,LEBANON
426,LESOTHO
430,LIBERIA
434,LIBYA
438,LIECHTENSTEIN
440,LITHUANIA
442,LUXEMBOURG
450,MADAGASCAR
454,MALAWI
458,MALAYSIA
462,MALDIVES
466,MALI
470,MALTA
584,MARSHALL ISLANDS
474,MARTINIQUE
478,MAURITANIA
480,MAURITIUS
175,MAYOTTE
484,MEXICO
583,MICRONESIA (FED. STATES OF)
492,MONACO
496,MONGOLIA
499,MONTENEGRO
500,MONTSERRAT
504,MOROCCO
508,MOZAMBIQUE
104,MYANMAR
516,NAMIBIA
520,NAURU
524,NEPAL
528,NETHERLANDS
540,NEW CALEDONIA
554,NEW ZEALAND
558,NICARAGUA
562,NIGER
566,NIGERIA
570,NIUE
807,NORTH MACEDONIA
580,NORTHERN MARIANA ISLANDS
578,NORWAY
512,OMAN
586,PAKISTAN
585,PALAU
591,PANAMA
598,PAPUA NEW GUINEA
600,PARAGUAY
604,PERU
608,PHILIPPINES
616,POLAND
620,PORTUGAL
630,PUERTO RICO
634,QATAR
410,REPUBLIC OF KOREA
498,REPUBLIC OF MOLDOVA
642,ROMANIA
643,RUSSIAN FEDERATION
646,RWANDA
638,RÉUNION
652,SAINT BARTHÉLEMY
654,SAINT HELENA
659,SAINT KITTS AND NEVIS
662,SAINT LUCIA
663,SAINT MARTIN (FRENCH PART)
666,SAINT PIERRE AND MIQUELON
670,SAINT VINCENT AND THE GRENADINES
882,SAMOA
674,SAN MARINO
678,SAO TOME AND PRINCIPE
682,SAUDI ARABIA
686,SENEGAL
688,SERBIA
690,SEYCHELLES
694,SIERRA LEONE
702,SINGAPORE
534,SINT MAARTEN (DUTCH PART)
703,SLOVAKIA
705,SLOVENIA
90,SOLOMON ISLANDS
706,SOMALIA
710,SOUTH AFRICA
728,SOUTH SUDAN
724,SPAIN
144,SRI LANKA
275,STATE OF PALESTINE
729,SUDAN
740,SURINAME
752,SWEDEN
756,SWITZERLAND
760,SYRIAN ARAB REPUBLIC
762,TAJIKISTAN
764,THAILAND
626,TIMOR-LESTE
768,TOGO
772,TOKELAU
776,TONGA
780,TRINIDAD AND TOBAGO
788,TUNISIA
792,TURKEY
795,TURKMENISTAN
796,TURKS AND CAICOS ISLANDS
798,TUVALU
800,UGANDA
804,UKRAINE
784,UNITED ARAB EMIRATES
826,UNITED KINGDOM
834,UNITED REPUBLIC OF TANZANIA
840,UNITED STATES OF AMERICA
850,UNITED STATES VIRGIN ISLANDS
858,URUGUAY
860,UZBEKISTAN
548,VANUATU
862,VENEZUELA (BOLIVARIAN REPUBLIC OF)
704,VIET NAM
876,WALLIS AND FUTUNA ISLANDS
732,WESTERN SAHARA
887,YEMEN
894,ZAMBIA
716,ZIMBABWE
